                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4838,                 4.4301,                 2.0425,                      0,                      0,                      0,                      0,                 1.0617,                 5.1025,                 1.9292,              3.332e-05,              3.332e-05,              3.332e-05
                      2,                 1.1043,                 4.1116,                 1.7304,                      0,                      0,                      0,                      0,                 1.0128,                 5.0484,                 1.8678,             6.9986e-05,             6.9986e-05,             6.9986e-05
                      3,                 1.1264,                 3.7972,                 1.7953,                      1,                0.08333,                0.54165,                0.43332,                 1.0247,                 5.0855,                 1.9326,             0.00010514,             0.00010514,             0.00010514
                      4,                 1.1135,                 3.3275,                  1.763,                    0.3,                      1,                 0.8567,                0.41207,                 1.1251,                  5.097,                  2.066,             0.00013879,             0.00013879,             0.00013879
                      5,                0.97745,                 2.9206,                 1.6506,                 0.2069,                      1,                0.86639,                0.40853,                 1.3441,                 5.0504,                 2.2338,             0.00017094,             0.00017094,             0.00017094
                      6,                0.94726,                 2.5369,                 1.6171,                0.23913,                0.91667,                0.82373,                0.49194,                 1.5265,                 5.0183,                 2.3086,             0.00020157,             0.00020157,             0.00020157
                      7,                0.95112,                 2.5037,                 1.6203,                0.21429,                      1,                0.82204,                0.46691,                 1.6232,                   4.85,                 2.3693,              0.0002307,              0.0002307,              0.0002307
                      8,                0.80912,                 2.0369,                 1.4987,                      1,                 0.2567,                0.84319,                0.47772,                 1.5523,                 4.7244,                 2.3673,             0.00025832,             0.00025832,             0.00025832
                      9,                0.98885,                 2.0556,                 1.6231,                      1,                0.65336,                0.90778,                0.55603,                 1.4799,                 4.0051,                 2.4792,             0.00028443,             0.00028443,             0.00028443
                     10,                0.80149,                 1.9114,                 1.4903,                0.85698,                   0.75,                0.87463,                0.56125,                 1.4623,                 3.3399,                 2.4657,             0.00030903,             0.00030903,             0.00030903
                     11,                0.89263,                 1.9492,                 1.5727,                0.98132,                0.83333,                0.91972,                0.53834,                 1.4774,                 2.9845,                 2.5359,             0.00033212,             0.00033212,             0.00033212
                     12,                0.88704,                 1.9592,                 1.5284,                0.90321,                0.83333,                0.94586,                0.51352,                 1.5444,                 3.0992,                 2.6426,             0.00035371,             0.00035371,             0.00035371
                     13,                0.91665,                 1.9658,                 1.6051,                0.89792,                0.91667,                0.95136,                0.53755,                  1.375,                  3.731,                 2.2982,              0.0003629,              0.0003629,              0.0003629
                     14,                0.83718,                 1.7338,                  1.547,                0.77057,                0.83333,                0.88422,                0.50803,                 1.4216,                 3.3583,                 2.2926,             0.00035348,             0.00035348,             0.00035348
                     15,                0.93701,                  1.917,                 1.5711,                      1,                0.91023,                0.98357,                0.51164,                 1.3835,                 2.9957,                 2.2026,             0.00034405,             0.00034405,             0.00034405
                     16,                0.72037,                 1.7018,                 1.3921,                      1,                0.82733,                0.97233,                0.50749,                 1.4309,                 3.0383,                 2.2427,             0.00033463,             0.00033463,             0.00033463
                     17,                0.85728,                 1.7394,                 1.5065,                0.84471,                0.90729,                0.89532,                0.48395,                 1.4755,                 3.0351,                 2.5524,              0.0003252,              0.0003252,              0.0003252
                     18,                0.82973,                 1.7297,                 1.4757,                0.83816,                      1,                0.91123,                0.43229,                  1.431,                  4.078,                 2.5597,             0.00031578,             0.00031578,             0.00031578
