                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81176,                 5.0395,                 1.5291,                      0,                      0,                      0,                      0,                0.80171,                 5.5219,                 1.5164,              3.332e-05,              3.332e-05,              3.332e-05
                      2,                 0.6964,                 4.6621,                 1.4241,                0.57143,                0.38095,                0.43722,                0.26092,                0.58446,                 5.3891,                 1.4604,             6.9986e-05,             6.9986e-05,             6.9986e-05
                      3,                0.64719,                 4.4031,                 1.3815,                0.27941,                0.90476,                0.67948,                0.37183,                0.56587,                 5.9716,                 1.4293,             0.00010514,             0.00010514,             0.00010514
                      4,                0.60717,                 4.2742,                 1.3331,                0.13208,                      1,                0.69119,                 0.4112,                 0.5903,                 5.3786,                 1.4344,             0.00013879,             0.00013879,             0.00013879
                      5,                0.58336,                 4.1022,                 1.3636,                0.08642,                      1,                 0.8412,                0.53785,                0.54738,                  4.741,                 1.3749,             0.00017094,             0.00017094,             0.00017094
                      6,                0.60915,                 3.8917,                 1.3666,                0.06931,                      1,                0.82502,                0.59361,                0.52507,                 4.2916,                 1.3411,             0.00020157,             0.00020157,             0.00020157
                      7,                0.56305,                 3.7344,                 1.2889,                0.05753,                      1,                0.83921,                0.69348,                0.50195,                 3.9876,                 1.3136,              0.0002307,              0.0002307,              0.0002307
                      8,                0.58955,                 3.5259,                 1.2965,                0.05738,                      1,                0.83021,                0.71981,                0.49908,                 3.7831,                 1.3054,             0.00025832,             0.00025832,             0.00025832
                      9,                0.64059,                 3.1764,                 1.3655,                0.85408,                0.55815,                0.83312,                0.68913,                0.52636,                 3.2744,                 1.3108,             0.00028443,             0.00028443,             0.00028443
                     10,                 0.7615,                   2.97,                 1.4699,                0.80342,                0.58445,                0.80728,                 0.6467,                0.56092,                 2.9754,                 1.3486,             0.00030903,             0.00030903,             0.00030903
                     11,                0.62652,                 2.5605,                 1.3826,                 0.7771,                0.66419,                 0.8052,                0.64844,                0.56043,                 2.7351,                 1.3607,             0.00033212,             0.00033212,             0.00033212
                     12,                0.69013,                 2.3544,                 1.4093,                0.67995,                 0.7619,                0.79817,                0.64027,                0.57865,                 2.5392,                 1.3939,             0.00035371,             0.00035371,             0.00035371
                     13,                0.62644,                 1.9196,                 1.3684,                0.64264,                0.95238,                0.84816,                0.68787,                0.60253,                 2.4752,                 1.4284,              0.0003629,              0.0003629,              0.0003629
                     14,                0.67421,                 1.7919,                  1.335,                0.72266,                0.95238,                0.86945,                0.70322,                0.63061,                 2.5851,                 1.4438,             0.00035348,             0.00035348,             0.00035348
                     15,                0.69896,                 1.8541,                 1.3864,                0.74868,                0.90476,                0.86759,                0.70238,                0.65481,                 2.6902,                 1.4848,             0.00034405,             0.00034405,             0.00034405
                     16,                0.62085,                 1.5579,                 1.3132,                0.88684,                0.66667,                0.85659,                0.67283,                0.73662,                 3.0065,                 1.5617,             0.00033463,             0.00033463,             0.00033463
                     17,                0.80622,                 1.6117,                 1.5575,                0.85926,                0.58199,                0.82235,                0.66478,                0.82277,                 3.3542,                 1.5971,              0.0003252,              0.0003252,              0.0003252
                     18,                 0.6324,                 1.5028,                 1.3439,                0.82642,                0.68071,                0.84367,                0.70858,                0.64652,                 3.2224,                 1.4581,             0.00031578,             0.00031578,             0.00031578
                     19,                0.69407,                 1.5454,                 1.3894,                0.85325,                0.90476,                 0.8633,                0.70684,                0.65912,                  2.662,                 1.4469,             0.00030635,             0.00030635,             0.00030635
                     20,                0.69924,                 1.4741,                 1.3707,                0.85464,                0.95238,                0.89657,                0.71464,                0.63518,                 2.2262,                 1.4822,             0.00029693,             0.00029693,             0.00029693
                     21,                0.63142,                 1.4194,                 1.3033,                0.90251,                      1,                0.93196,                0.78057,                 0.6186,                 2.0344,                 1.4776,              0.0002875,              0.0002875,              0.0002875
                     22,                0.76536,                 1.4276,                 1.4532,                0.90828,                      1,                0.93764,                0.76613,                0.62069,                 1.9749,                 1.4359,             0.00027808,             0.00027808,             0.00027808
                     23,                 0.6241,                 1.3173,                 1.3183,                0.90514,                      1,                0.94681,                0.80028,                0.56185,                   1.89,                 1.3488,             0.00026865,             0.00026865,             0.00026865
                     24,                0.71167,                 1.4094,                 1.4197,                0.90761,                      1,                0.94681,                0.83335,                 0.5129,                 1.8432,                 1.2897,             0.00025923,             0.00025923,             0.00025923
                     25,                0.61493,                 1.3174,                 1.3171,                0.90162,                      1,                0.93853,                0.83209,                0.51007,                 1.8825,                 1.2831,              0.0002498,              0.0002498,              0.0002498
                     26,                0.66285,                 1.2653,                 1.3681,                0.90949,                      1,                0.93903,                0.83702,                0.49784,                 1.7988,                 1.2608,             0.00024038,             0.00024038,             0.00024038
                     27,                0.64582,                 1.2779,                 1.3003,                0.90961,                      1,                0.94546,                 0.8545,                0.48143,                 1.7821,                 1.2502,             0.00023096,             0.00023096,             0.00023096
                     28,                 0.7468,                 1.3461,                 1.4173,                0.91005,                      1,                0.94181,                0.83719,                0.49139,                 1.7183,                 1.2507,             0.00022153,             0.00022153,             0.00022153
                     29,                0.65716,                 1.3532,                 1.3398,                0.91009,                      1,                0.94809,                0.84546,                0.49927,                 1.7669,                  1.257,             0.00021211,             0.00021211,             0.00021211
                     30,                0.63784,                 1.2994,                 1.3517,                0.91025,                      1,                0.95167,                0.85825,                0.54224,                 1.7434,                 1.2917,             0.00020268,             0.00020268,             0.00020268
                     31,                 0.5584,                 1.3234,                 1.2095,                0.91034,                      1,                0.95617,                0.86695,                0.54181,                 1.7196,                 1.3029,             0.00019326,             0.00019326,             0.00019326
                     32,                0.50342,                 1.1568,                 1.1927,                0.91065,                      1,                0.95617,                0.85211,                0.52671,                 1.7026,                 1.2856,             0.00018383,             0.00018383,             0.00018383
                     33,                0.60334,                 1.2126,                  1.241,                0.91085,                      1,                0.96019,                0.85673,                0.51657,                 1.7406,                 1.2846,             0.00017441,             0.00017441,             0.00017441
                     34,                0.62209,                 1.2197,                 1.3008,                0.91063,                      1,                0.95737,                0.85149,                0.51696,                 1.6888,                 1.3022,             0.00016498,             0.00016498,             0.00016498
                     35,                0.51472,                 1.1755,                 1.2311,                0.91068,                      1,                0.94971,                0.83815,                0.50695,                 1.6775,                  1.304,             0.00015556,             0.00015556,             0.00015556
                     36,                0.65201,                 1.3229,                 1.3833,                0.91047,                      1,                0.94382,                0.84487,                 0.5061,                 1.6545,                 1.2985,             0.00014613,             0.00014613,             0.00014613
                     37,                0.54328,                 1.0855,                 1.2939,                0.90992,                      1,                0.94065,                0.84005,                0.49311,                 1.6033,                 1.2897,             0.00013671,             0.00013671,             0.00013671
                     38,                0.57818,                 1.1224,                 1.2759,                 0.9089,                      1,                0.94065,                0.83432,                0.50022,                 1.5972,                 1.2962,             0.00012728,             0.00012728,             0.00012728
                     39,                0.58186,                 1.1316,                 1.2619,                0.91045,                      1,                0.93764,                 0.8295,                0.49754,                 1.5844,                 1.2926,             0.00011786,             0.00011786,             0.00011786
                     40,                0.57515,                 1.1928,                 1.2796,                0.90997,                      1,                0.94065,                0.85377,                0.50725,                 1.5516,                 1.3021,             0.00010843,             0.00010843,             0.00010843
                     41,                0.53413,                 1.8675,                 1.3186,                0.91044,                      1,                0.94971,                0.87231,                0.49262,                  1.554,                 1.2785,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     42,                0.60523,                 2.0143,                 1.3463,                0.91061,                      1,                0.94382,                0.84446,                0.48263,                 1.5555,                 1.2474,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     43,                0.46699,                 1.7508,                 1.2125,                0.91022,                      1,                0.94459,                0.85317,                0.47768,                 1.5342,                 1.2318,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     44,                0.50665,                 1.7707,                  1.287,                0.90975,                      1,                0.93853,                0.85014,                0.47173,                 1.5234,                 1.2282,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     45,                0.44951,                 1.6627,                 1.2246,                0.90918,                      1,                0.93497,                0.84677,                0.49376,                 1.5284,                 1.2509,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     46,                0.49064,                 1.8193,                 1.2649,                 0.9092,                      1,                0.92839,                0.83564,                0.49245,                 1.5523,                 1.2409,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     47,                0.57557,                 1.8053,                 1.3391,                0.90971,                      1,                0.92839,                0.83088,                0.48915,                 1.5699,                 1.2349,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     48,                0.50921,                 1.8031,                 1.2569,                0.90986,                      1,                0.92839,                0.83007,                0.48862,                 1.5709,                 1.2332,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     49,                0.50973,                 1.7239,                  1.343,                 0.9096,                      1,                0.92839,                0.83153,                0.48414,                 1.5681,                 1.2269,              2.361e-05,              2.361e-05,              2.361e-05
                     50,                0.46209,                 1.6834,                 1.2373,                0.90951,                      1,                0.92839,                0.83148,                0.48269,                 1.5509,                 1.2219,             1.4185e-05,             1.4185e-05,             1.4185e-05
