                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0208,                 2.9786,                 1.6918,                0.00343,                      1,                0.31907,                 0.1817,                  1.402,                 4.3883,                  2.268,             0.00034296,             0.00034296,             0.00034296
                      2,                0.95195,                 2.2583,                 1.6456,                0.60894,                0.23403,                0.47481,                0.27994,                 1.2395,                 3.6671,                 2.3033,             0.00069674,             0.00069674,             0.00069674
                      3,                 0.8842,                 2.0044,                 1.5466,                0.48433,                0.63333,                0.58205,                0.37171,                 1.1174,                 3.3648,                 2.0369,               0.001047,               0.001047,               0.001047
                      4,                0.97083,                 2.0939,                  1.623,                0.66552,                0.41667,                0.41742,                0.24947,                 1.2952,                  6.971,                 2.4291,              0.0013937,              0.0013937,              0.0013937
                      5,                0.95081,                 1.8538,                 1.6105,                0.51723,                0.63333,                0.65115,                0.35478,                 1.1566,                 4.0241,                 2.1875,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.0037,                 1.9067,                 1.6722,                  0.566,                0.67878,                  0.674,                0.36063,                 1.4635,                   3.73,                 2.8605,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.0018,                 1.7959,                 1.6326,                0.69847,                   0.45,                 0.4275,                0.21111,                 1.4504,                 4.5875,                 2.5032,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.0341,                 1.8004,                 1.6698,                0.50218,                0.61322,                0.48007,                0.29352,                 1.0851,                 3.9876,                 2.1175,              0.0013795,              0.0013795,              0.0013795
                      9,                0.89877,                 1.5556,                 1.5327,                0.75724,                0.45363,                0.66426,                 0.3718,                 1.2376,                 2.6865,                 2.3466,              0.0013724,              0.0013724,              0.0013724
                     10,                0.98017,                 1.6481,                 1.6435,                0.66685,                0.77596,                0.75763,                0.42097,                 1.1672,                 2.8167,                 2.3946,              0.0013653,              0.0013653,              0.0013653
                     11,                0.96911,                 1.5943,                 1.6159,                0.67335,                0.67146,                0.67236,                0.39531,                 1.1885,                 2.5888,                 2.2721,              0.0013583,              0.0013583,              0.0013583
                     12,                0.93823,                 1.4826,                 1.5812,                0.46675,                0.67745,                0.56276,                0.28923,                 1.5079,                 2.7321,                 2.3353,              0.0013512,              0.0013512,              0.0013512
                     13,                 0.8933,                 1.3984,                 1.5248,                0.69433,                0.72222,                0.72722,                0.43501,                  1.247,                 2.0676,                 2.2212,              0.0013441,              0.0013441,              0.0013441
                     14,                0.84944,                 1.3747,                 1.5054,                0.71539,                0.75179,                0.76728,                0.46425,                 1.2422,                 2.1053,                 2.2763,               0.001337,               0.001337,               0.001337
                     15,                0.87147,                 1.3963,                 1.5252,                0.55686,                0.66667,                0.51489,                0.35709,                 1.1235,                 2.5023,                 2.1026,                0.00133,                0.00133,                0.00133
                     16,                0.86953,                 1.3298,                 1.5211,                0.76772,                0.76592,                 0.7564,                 0.4888,                 1.2015,                 1.8137,                 2.1364,              0.0013229,              0.0013229,              0.0013229
                     17,                0.88556,                 1.3353,                 1.5352,                0.67651,                0.79957,                0.73988,                 0.4646,                 1.1861,                   1.86,                 2.1552,              0.0013158,              0.0013158,              0.0013158
                     18,                0.85385,                 1.2885,                 1.4747,                0.66831,                0.72381,                0.73815,                0.54619,                0.97883,                 1.6704,                 1.8863,              0.0013087,              0.0013087,              0.0013087
                     19,                0.81241,                 1.1498,                  1.458,                0.73908,                0.77178,                0.76675,                0.52529,                 1.0176,                 1.5869,                 1.8917,              0.0013017,              0.0013017,              0.0013017
                     20,                0.85676,                 1.2128,                 1.4814,                0.55551,                0.69236,                0.58234,                0.34844,                 1.3113,                 1.9984,                 2.3243,              0.0012946,              0.0012946,              0.0012946
                     21,                0.94128,                 1.2482,                 1.5766,                0.70457,                 0.5575,                0.48214,                0.25088,                 1.6869,                 2.3877,                 3.2482,              0.0012875,              0.0012875,              0.0012875
                     22,                0.90834,                 1.2088,                 1.5305,                0.63288,                  0.748,                0.69789,                0.42475,                 1.2638,                 1.9343,                 2.0892,              0.0012805,              0.0012805,              0.0012805
                     23,                0.80827,                 1.1227,                 1.4702,                0.72181,                0.68126,                0.77354,                0.54968,                0.97378,                 1.6958,                 1.8049,              0.0012734,              0.0012734,              0.0012734
                     24,                0.87671,                 1.2444,                 1.5081,                0.71106,                0.63889,                0.74004,                0.50139,                 1.0083,                 1.6931,                 1.8309,              0.0012663,              0.0012663,              0.0012663
                     25,                0.86646,                 1.1395,                 1.5235,                0.70847,                0.74569,                0.70383,                0.44981,                  1.126,                 1.8002,                 1.9453,              0.0012592,              0.0012592,              0.0012592
                     26,                 0.8532,                 1.1497,                 1.5159,                0.69755,                0.66047,                0.75443,                0.47851,                 1.2331,                 1.7411,                 2.1734,              0.0012522,              0.0012522,              0.0012522
                     27,                0.84252,                 1.0947,                 1.4905,                0.57269,                 0.8143,                0.66472,                0.43777,                 1.1367,                 1.9535,                 2.0068,              0.0012451,              0.0012451,              0.0012451
                     28,                0.79423,                 1.0738,                 1.4488,                 0.6957,                0.77222,                0.75804,                0.51122,                 1.0839,                 1.5183,                 1.9366,               0.001238,               0.001238,               0.001238
                     29,                0.79593,                 1.0547,                  1.449,                0.69143,                0.85995,                0.76493,                 0.5335,                 1.0619,                 1.4071,                 1.9482,              0.0012309,              0.0012309,              0.0012309
                     30,                0.75155,                0.96995,                 1.4135,                0.90294,                0.73451,                0.87172,                0.59497,                 1.0845,                 1.1782,                 1.9587,              0.0012239,              0.0012239,              0.0012239
